Plot ID,Sowing date,Harvest date,Width,Length,Row,Column,Replicate,Rack,Accession,Ant_date_ymd 2019-08-27,BM_Calc_tha 2019-08-27,BM_M_gPlot 2019-08-27,GFP_calc_day 2019-08-27,GMoi_E_pct 2019-08-27,GYPR_Calc_gm2day 2019-08-27,GY_Calc_tha 2019-08-27,GY_M_gPlot 2019-08-27,HI_Calc_pct 2019-08-27,Mat_date_ymd 2019-08-27,PH_M_cm 2019-08-27,SN_Calc_Spksm2 2019-08-27,SpkGW_M_g 2019-08-27,StrawYld_E_tha 2019-08-27
60,2018-10-08,2019-08-27,1.5,4.0,2,15,1,1,PW468-84-4-7-Q5A-NDRE-P,2019-06-07T00:00:00,,69.7,53.0,17.1224732461355,12.972321080613,6.87533017272488,,,2019-07-30T00:00:00,116.25,,,
91,2018-10-08,2019-08-27,1.5,4.0,3,1,1,1,PW352-3-7-9-Q2D-MATU-P,2019-06-07T00:00:00,,75.4,53.0,10.8747044917258,14.9564651365861,7.92692652239062,,,2019-07-30T00:00:00,104.0,,,
92,2018-10-08,2019-08-27,1.5,4.0,3,2,1,1,PW468-84-1-14-Q5D-MATU-W,2019-06-03T00:00:00,,75.3,52.0,10.9929078014184,12.5218479658799,6.51136094225755,,,2019-07-25T00:00:00,129.5,,,
93,2018-10-08,2019-08-27,1.5,4.0,3,3,1,1,PxW141-7-12-12-02,2019-06-07T00:00:00,,74.7,53.0,10.431654676259,16.6940064606904,8.84782342416589,,,2019-07-30T00:00:00,112.5,,,
94,2018-10-08,2019-08-27,1.5,4.0,3,4,1,1,PW729-55-5-6-Q4A-MATU-W,2019-06-05T00:00:00,,76.1,55.0,10.3651354534747,15.9406472240516,8.76735597322835,,,2019-07-30T00:00:00,110.25,,,
95,2018-10-08,2019-08-27,1.5,4.0,3,5,1,1,PW352-26-5-8-Q2A-DTMA-W,2019-06-07T00:00:00,,74.8,53.0,9.77080820265381,16.479850455194,8.7343207412528,,,2019-07-30T00:00:00,114.0,,,
96,2018-10-08,2019-08-27,1.5,4.0,3,6,1,1,PW352-23-4-20-Q1A-NDVI-P,2019-06-07T00:00:00,17.9203593534963,75.8,53.0,9.6543504171633,15.6287557403856,8.28324054240436,183.3,46.2225136171071,2019-07-30T00:00:00,108.25,451.89528327356,1.833,9.63711881109194
97,2018-10-08,2019-08-27,1.5,4.0,3,7,1,1,DHF1-122,2019-06-07T00:00:00,,76.7,53.0,9.44510035419126,14.7972940726588,7.84256585850917,,,2019-07-30T00:00:00,114.75,,,
98,2018-10-08,2019-08-27,1.5,4.0,3,8,1,1,Paragon,2019-06-05T00:00:00,,75.6,55.0,9.89272943980931,15.1604374895209,8.33824061923649,,,2019-07-30T00:00:00,103.5,,,
99,2018-10-08,2019-08-27,1.5,4.0,3,9,1,1,PxW141-7-16-47-21,2019-06-05T00:00:00,,76.0,55.0,9.41597139451729,15.3897729631632,8.46437512973976,,,2019-07-30T00:00:00,107.75,,,
100,2018-10-08,2019-08-27,1.5,4.0,3,10,1,1,PW292-9-5-7-Q4B-GFPTT-P,2019-06-07T00:00:00,17.6917152924883,76.6,53.0,9.56316410861867,15.5258580890639,8.22870478720386,192.4,46.5116279069768,2019-07-30T00:00:00,106.0,427.68735900228,1.924,9.46301050528444
101,2018-10-08,2019-08-27,1.5,4.0,3,11,1,1,PW468-84-4-4-Q5A-COMGRWT-P,2019-06-03T00:00:00,16.0789977612875,68.5,52.0,18.646080760095,13.7855290766344,7.16847511984991,199.0,44.5828479254414,2019-07-25T00:00:00,112.5,360.224880394468,1.99,8.91052264143755
102,2018-10-08,2019-08-27,1.5,4.0,3,12,1,1,PW352-23-1-2-Q1A-MATU-W,2019-06-07T00:00:00,,70.9,53.0,15.9952606635071,14.9415801171792,7.91903746210498,,,2019-07-30T00:00:00,116.0,,,
103,2018-10-08,2019-08-27,1.5,4.0,3,13,1,1,PW468-77-3-11-Q7B-AGDM-W,2019-06-05T00:00:00,15.9176279754493,69.5,55.0,17.7514792899408,12.3841405302194,6.81127729162069,191.6,42.7907807754154,2019-07-30T00:00:00,135.0,355.494639437405,1.916,9.10635068382858
104,2018-10-08,2019-08-27,1.5,4.0,3,14,1,1,DFW SEL 0062,2019-06-03T00:00:00,,70.5,57.0,16.9611307420495,14.3870936411572,8.20064337545958,,,2019-07-30T00:00:00,73.75,,,
105,2018-10-08,2019-08-27,1.5,4.0,3,15,1,1,PxW141-7-10-70-17,2019-06-05T00:00:00,,70.1,55.0,14.093137254902,13.7035733016907,7.53696531592987,,,2019-07-30T00:00:00,105.5,,,
136,2018-10-08,2019-08-27,1.5,4.0,4,1,1,1,DHF1-195UT,2019-06-07T00:00:00,,75.7,53.0,10.5200945626477,12.1558936625921,6.44262364117379,,,2019-07-30T00:00:00,127.75,,,
137,2018-10-08,2019-08-27,1.5,4.0,4,2,1,1,DFW SEL 0063,2019-06-05T00:00:00,18.117165888064,76.0,55.0,10.271546635183,17.3123977265725,9.52181874961487,211.1,52.5568889110193,2019-07-30T00:00:00,83.25,451.057259574366,2.111,8.59534713844912
138,2018-10-08,2019-08-27,1.5,4.0,4,3,1,1,DFW SEL 0071,2019-06-07T00:00:00,,74.9,53.0,10.5137395459976,18.4688766740896,9.78850463726751,,,2019-07-30T00:00:00,90.5,,,
139,2018-10-08,2019-08-27,1.5,4.0,4,4,1,1,PW352-3-7-16-Q2D-MATU-P,2019-06-07T00:00:00,,75.8,53.0,10.2958579881657,16.3039988637991,8.64111939781355,,,2019-07-30T00:00:00,115.75,,,
140,2018-10-08,2019-08-27,1.5,4.0,4,5,1,1,PW141-80-3-16-Q5A-MATU-W,2019-06-07T00:00:00,,76.5,48.0,9.68122786304605,17.5849461218654,8.44077413849537,,,2019-07-25T00:00:00,121.25,,,
141,2018-10-08,2019-08-27,1.5,4.0,4,6,1,1,DHF1-277UT,2019-06-14T00:00:00,,76.5,46.0,10.0,8.80861606397864,4.05196338943017,,,2019-07-30T00:00:00,109.75,,,
142,2018-10-08,2019-08-27,1.5,4.0,4,7,1,1,PW468-84-4-12-Q5A-COMGRWT-P,2019-06-03T00:00:00,19.4992171322185,76.6,57.0,9.45626477541371,15.6227496489737,8.90496729991503,217.5,45.6683324234662,2019-07-30T00:00:00,115.0,409.423783904139,2.175,10.5942498323035
143,2018-10-08,2019-08-27,1.5,4.0,4,8,1,1,DHF1-121,2019-05-28T00:00:00,,76.6,63.0,9.66981132075472,9.52394314175301,6.00008417930439,,,2019-07-30T00:00:00,96.0,,,
144,2018-10-08,2019-08-27,1.5,4.0,4,9,1,1,PW729-55-3-13-Q6B-AGDM-P,2019-06-07T00:00:00,17.9158173631186,76.1,48.0,9.40476190476191,16.8561490687758,8.09095155301237,166.4,45.1609401291863,2019-07-25T00:00:00,110.75,486.235069291609,1.664,9.82486581010625
145,2018-10-08,2019-08-27,1.5,4.0,4,10,1,1,DHF1-192,2019-06-07T00:00:00,,76.6,53.0,9.77620730270908,14.6806420555248,7.78074028942815,,,2019-07-30T00:00:00,113.0,,,
146,2018-10-08,2019-08-27,1.5,4.0,4,11,1,1,PW729-55-5-15-Q4A-MATU-P,2019-06-07T00:00:00,,69.8,48.0,18.4579439252336,18.7517571460851,9.00084343012085,,,2019-07-25T00:00:00,115.0,,,
147,2018-10-08,2019-08-27,1.5,4.0,4,12,1,1,PW468-84-1-22-Q5D-MATU-W,2019-06-03T00:00:00,,67.4,57.0,20.4250295159386,11.8432922158962,6.75067656306081,,,2019-07-30T00:00:00,116.25,,,
148,2018-10-08,2019-08-27,1.5,4.0,4,13,1,1,P-Gw2A-P1-BC6-27 (+ -),2019-06-05T00:00:00,,70.5,55.0,17.0588235294118,14.0635869453668,7.73497281995172,,,2019-07-30T00:00:00,121.25,,,
149,2018-10-08,2019-08-27,1.5,4.0,4,14,1,1,DFW SEL 0053,2019-06-05T00:00:00,,73.0,55.0,12.7837514934289,11.7442152632576,6.45931839479168,,,2019-07-30T00:00:00,76.0,,,
150,2018-10-08,2019-08-27,1.5,4.0,4,15,1,1,PW141-41-2-21-Q5B-NDVI-P,2019-06-05T00:00:00,17.3240970296043,72.5,55.0,14.3026004728132,14.5329794153938,7.9931386784666,203.5,46.1388473223598,2019-07-30T00:00:00,116.5,392.783227443076,2.035,9.33095835113772
181,2018-10-08,2019-08-27,1.5,4.0,5,1,1,1,P-Gw2A-P1-BC6-26 (- +),2019-06-07T00:00:00,,75.2,53.0,10.5826397146254,15.8976593624847,8.42575946211692,,,2019-07-30T00:00:00,117.25,,,
182,2018-10-08,2019-08-27,1.5,4.0,5,2,1,1,DFW SEL 0054,2019-06-05T00:00:00,,75.6,55.0,10.8490566037736,15.418553737654,8.48020455570968,,,2019-07-30T00:00:00,77.5,,,
183,2018-10-08,2019-08-27,1.5,4.0,5,3,1,1,PW729-55-5-19-Q4A-MATU-P,2019-06-07T00:00:00,,75.4,48.0,10.3448275862069,17.4508422067548,8.37640425924229,,,2019-07-25T00:00:00,109.25,,,
184,2018-10-08,2019-08-27,1.5,4.0,5,4,1,1,PW352-26-2-19-Q5D-MATU-P,2019-06-11T00:00:00,,75.1,49.0,10.5952380952381,12.7062075128813,6.22604168131183,,,2019-07-30T00:00:00,129.75,,,
185,2018-10-08,2019-08-27,1.5,4.0,5,5,1,1,PW034-63-2-15-Q4A-GFP-W,2019-06-07T00:00:00,,76.8,53.0,9.75323149236193,15.0776323552946,7.99114514830616,,,2019-07-30T00:00:00,109.25,,,
186,2018-10-08,2019-08-27,1.5,4.0,5,6,1,1,PW034-63-2-13-Q4A-GFP-P,2019-06-07T00:00:00,,76.2,48.0,9.82248520710059,17.8015023214996,8.54472111431981,,,2019-07-25T00:00:00,110.0,,,
187,2018-10-08,2019-08-27,1.5,4.0,5,7,1,1,DFW SEL 0056,2019-06-05T00:00:00,11.3271614109277,76.1,47.0,9.83412322274883,12.8838873525173,6.05542705568312,144.8,53.4593516946024,2019-07-22T00:00:00,89.25,418.19247622121,1.448,5.27173435524458
188,2018-10-08,2019-08-27,1.5,4.0,5,8,1,1,PW468-84-1-17-Q5D-MATU-P,2019-06-05T00:00:00,,76.1,50.0,9.83412322274883,15.0119692228424,7.50598461142121,,,2019-07-25T00:00:00,116.75,,,
189,2018-10-08,2019-08-27,1.5,4.0,5,9,1,1,Paragon,2019-06-07T00:00:00,,76.0,53.0,9.63139120095124,15.6372022239814,8.28771717871013,,,2019-07-30T00:00:00,105.75,,,
190,2018-10-08,2019-08-27,1.5,4.0,5,10,1,1,DHF1-29UT,2019-06-05T00:00:00,,76.3,47.0,9.81087470449172,12.9350516721361,6.07947428590396,,,2019-07-22T00:00:00,79.25,,,
191,2018-10-08,2019-08-27,1.5,4.0,5,11,1,1,PW468-21-2-22-Q2D-DTAD-P,2019-06-07T00:00:00,,66.1,48.0,20.933014354067,12.940930000935,6.21164640044879,,,2019-07-25T00:00:00,90.75,,,
192,2018-10-08,2019-08-27,1.5,4.0,5,12,1,1,PW292-69-4-19-Q6B-DTAD-W,2019-06-07T00:00:00,,70.0,53.0,15.1515151515152,16.663000702976,8.83139037257726,,,2019-07-30T00:00:00,107.75,,,
